zone_name,zip_code,zone_description,shipping_cost,weight_margin,minimum_cost
Mapalagama Central,80116,Mapalagama Central,100,5,150
Mattaka,80424,Mattaka,100,5,150
Meda-Keembiya,80092,Meda-Keembiya,100,5,150
Meetiyagoda,80330,Meetiyagoda,100,5,150
Nagoda,80110,Nagoda,100,5,150
Nakiyadeniya,80064,Nakiyadeniya,100,5,150
Nawandagala,80416,Nawandagala,100,5,150
Neluwa,80082,Neluwa,100,5,150
Nindana,80318,Nindana,100,5,150
Pahala Millawa,81472,Pahala Millawa,100,5,150
Panangala,80075,Panangala,100,5,150
Pannimulla Panagoda,80086,Pannimulla Panagoda,100,5,150
Parana Thanayamgoda,80114,Parana Thanayamgoda,100,5,150
Patana,22012,Patana,100,5,150
Pitigala,80420,Pitigala,100,5,150
Poddala,80170,Poddala,100,5,150
Polgampola,12136,Polgampola,100,5,150
Porawagama,80408,Porawagama,100,5,150
Rantotuwila,80354,Rantotuwila,100,5,150
Talagampola,80058,Talagampola,100,5,150
Talgaspe,80406,Talgaspe,100,5,150
Talpe,80615,Talpe,100,5,150
Tawalama,80148,Tawalama,100,5,150
Tiranagama,80244,Tiranagama,100,5,150
Udalamatta,80108,Udalamatta,100,5,150
Udugama,80070,Udugama,100,5,150
Uluvitike,80168,Uluvitike,100,5,150
Unawatuna,80600,Unawatuna,100,5,150
Unawitiya,80214,Unawitiya,100,5,150
Uragaha,80352,Uragaha,100,5,150
Uragasmanhandiya,80350,Uragasmanhandiya,100,5,150
Wakwella,80042,Wakwella,100,5,150
Walahanduwa,80046,Walahanduwa,100,5,150
Wanchawela,80120,Wanchawela,100,5,150
Wanduramba,80100,Wanduramba,100,5,150
Warukandeniya,80084,Warukandeniya,100,5,150
Watugedara,80340,Watugedara,100,5,150
Weihena,80216,Weihena,100,5,150
Welikanda,51070,Welikanda,100,5,150
Wilanagama,20142,Wilanagama,100,5,150
Yakkalamulla,80150,Yakkalamulla,100,5,150
Yatalamatta,80107,Yatalamatta,100,5,150
Akaragama,11536,Akaragama,100,5,150
Ambagaspitiya,11052,Ambagaspitiya,100,5,150
Ambepussa,11212,Ambepussa,100,5,150
Andiambalama,11558,Andiambalama,100,5,150
Attanagalla,11120,Attanagalla,100,5,150
Badalgama,11538,Badalgama,100,5,150
Banduragoda,11244,Banduragoda,100,5,150
Batuwatta,11011,Batuwatta,100,5,150
Bemmulla,11040,Bemmulla,100,5,150
Biyagama IPZ,11672,Biyagama IPZ,100,5,150
Bokalagama,11216,Bokalagama,100,5,150
Bollete (WP),11024,Bollete (WP),100,5,150
Bopagama,11134,Bopagama,100,5,150
Buthpitiya,11720,Buthpitiya,100,5,150
Dagonna,11524,Dagonna,100,5,150
Danowita,11896,Danowita,100,5,150
Debahera,11889,Debahera,100,5,150
Dekatana,11690,Dekatana,100,5,150
Delgoda,11700,Delgoda,100,5,150
Delwagura,11228,Delwagura,100,5,150
Demalagama,11692,Demalagama,100,5,150
Demanhandiya,11270,Demanhandiya,100,5,150
Dewalapola,11102,Dewalapola,100,5,150
Divulapitiya,11250,Divulapitiya,100,5,150
Divuldeniya,11208,Divuldeniya,100,5,150
Dompe,11680,Dompe,100,5,150
Dunagaha,11264,Dunagaha,100,5,150
Ekala,11380,Ekala,100,5,150
Ellakkala,11116,Ellakkala,100,5,150
Essella,11108,Essella,100,5,150
Galedanda,90206,Galedanda,100,5,150
Gampaha,11000,Gampaha,100,5,150
Ganemulla,11020,Ganemulla,100,5,150
Giriulla,60140,Giriulla,100,5,150
Gonawala,11630,Gonawala,100,5,150
Halpe,70145,Halpe,100,5,150
Hapugastenna,70164,Hapugastenna,100,5,150
Heiyanthuduwa,11618,Heiyanthuduwa,100,5,150
Hinatiyana Madawala,11568,Hinatiyana Madawala,100,5,150
Hiswella,11734,Hiswella,100,5,150
Horampella,11564,Horampella,100,5,150
Hunumulla,11262,Hunumulla,100,5,150
Hunupola,60582,Hunupola,100,5,150
Ihala Madampella,11265,Ihala Madampella,100,5,150
Imbulgoda,11856,Imbulgoda,100,5,150
Ja-Ela,11350,Ja-Ela,100,5,150
Kadawatha,11850,Kadawatha,100,5,150
Kahatowita,11144,Kahatowita,100,5,150
Kalagedihena,11875,Kalagedihena,100,5,150
Kaleliya,11160,Kaleliya,100,5,150
Kandana,11320,Kandana,100,5,150
Katana,11534,Katana,100,5,150
Katudeniya,21016,Katudeniya,100,5,150
Katunayake,11450,Katunayake,100,5,150
Katunayake Air Force Camp,11440,Katunayake Air Force Camp,100,5,150
Katunayake(FTZ),11420,Katunayake(FTZ),100,5,150
Katuwellegama,11526,Katuwellegama,100,5,150
Kelaniya,11600,Kelaniya,100,5,150
Kimbulapitiya,11522,Kimbulapitiya,100,5,150
Kirindiwela,11730,Kirindiwela,100,5,150
Kitalawalana,11206,Kitalawalana,100,5,150
Kochchikade,11540,Kochchikade,100,5,150
Kotadeniyawa,11232,Kotadeniyawa,100,5,150
Kotugoda,11390,Kotugoda,100,5,150
Kumbaloluwa,11105,Kumbaloluwa,100,5,150
Loluwagoda,11204,Loluwagoda,100,5,150
Mabodale,11114,Mabodale,100,5,150
Madelgamuwa,11033,Madelgamuwa,100,5,150
Makewita,11358,Makewita,100,5,150
Makola,11640,Makola,100,5,150
Malwana,11670,Malwana,100,5,150
Mandawala,11061,Mandawala,100,5,150
Marandagahamula,11260,Marandagahamula,100,5,150
